age,id,color,intake,sex,time
7 months,A723585,Black,Stray,Male,179
2 years,A685296,Colourpoint,Owner Surrender,Male,179
2 months,A736386,Calico,Stray,Female,18
2 months,A691170,Cream Tabby,Owner Surrender,Male,18
2 years,A719158,Brown Tabby,Stray,Male,18
2 months,A690641,Orange Tabby,Owner Surrender,Male,18
4 months,A731602,Orange Tabby,Stray,Male,18
1 month,A725965,Blue,Stray,Female,18
6 months,A721021,Torbie,Stray,Female,18
2 months,A731281,Blue,Stray,Male,18
11 months,A767039,Black,Owner Surrender,Male,18
5 months,A767041,Torbie,Owner Surrender,Female,18
3 months,A706665,Blue,Stray,Female,18
1 month,A746867,Brown Tabby,Stray,Male,18
4 years,A573350,Brown Tabby,Owner Surrender,Male,18
5 months,A733156,Black,Stray,Female,18
8 years,A760759,Colourpoint,Owner Surrender,Male,18
3 months,A700809,Brown Tabby,Stray,Male,18
3 months,A682162,Calico,Stray,Female,18
6 months,A739616,Black and White,Stray,Male,18
8 years,A765893,Brown Tabby,Owner Surrender,Male,18
2 months,A729651,Black,Stray,Male,18
2 years,A759906,Black and White,Owner Surrender,Male,18
4 years,A708601,Blue,Public Assist,Male,18
1 month,A706333,Brown Tabby,Stray,Male,18
4 months,A737825,Brown Tabby,Stray,Female,18
2 months,A738238,Black and White,Stray,Male,18
2 months,A691202,White,Stray,Female,18
4 years,A682085,Blue,Owner Surrender,Male,18
9 years,A757411,Brown Tabby,Owner Surrender,Male,18
9 years,A697816,Calico,Owner Surrender,Male,18
2 years,A755317,Brown Tabby,Stray,Male,18
3 months,A753882,Torbie,Stray,Female,18
3 months,A715732,Orange Tabby,Stray,Male,18
3 years,A755974,Black,Owner Surrender,Male,18
2 months,A681260,Black and White,Stray,Female,18
6 years,A717096,Calico,Owner Surrender,Male,18
1 year,A687923,Blue,Stray,Male,18
2 months,A706722,Brown Tabby,Stray,Male,18
4 months,A685479,Brown Tabby,Owner Surrender,Male,18
2 months,A700415,Cream Tabby,Stray,Female,18
2 months,A684625,Brown Tabby,Stray,Male,18
1 year,A743727,Black,Stray,Female,18
5 months,A714729,Black,Owner Surrender,Male,18
5 months,A714727,Black,Owner Surrender,Female,18
2 months,A704977,Black,Stray,Female,18
2 months,A704976,Black,Stray,Female,18
2 years,A758099,Brown Tabby,Stray,Male,18
3 months,A705678,Cream Tabby,Stray,Female,18
3 months,A735239,Blue,Stray,Female,18
2 months,A706777,Black and White,Stray,Male,18
4 years,A575322,Calico,Owner Surrender,Male,18
3 months,A662491,Brown Tabby,Owner Surrender,Male,18
2 months,A736185,Blue,Stray,Male,18
1 month,A706546,Black,Stray,Male,18
2 months,A736184,Brown Tabby,Stray,Male,18
1 year,A757501,Blue,Stray,Male,18
6 months,A748893,Colourpoint,Stray,Female,18
2 months,A705669,Blue,Stray,Male,18
2 years,A716692,Calico,Owner Surrender,Female,18
2 months,A753873,Brown Tabby,Stray,Female,18
2 months,A753874,Orange Tabby,Stray,Male,18
1 month,A754960,Blue,Stray,Male,18
3 months,A751065,Orange Tabby,Owner Surrender,Male,18
6 months,A666639,Black and White,Stray,Female,18
2 months,A675778,Blue,Stray,Male,18
2 months,A753559,Brown Tabby,Stray,Female,18
1 year,A679377,Black and White,Owner Surrender,Male,18
2 months,A675779,Brown Tabby,Stray,Male,18
1 month,A706547,Black and White,Stray,Male,18
6 years,A718375,Brown Tabby,Public Assist,Male,18
2 years,A758079,Blue,Owner Surrender,Male,18
2 months,A690533,Cream Tabby,Stray,Male,18
2 months,A690531,Cream Tabby,Stray,Male,18
1 month,A706549,Tortie,Stray,Female,18
2 months,A684458,Brown Tabby,Stray,Female,18
2 months,A703139,Orange Tabby,Stray,Male,18
8 years,A683548,Black,Stray,Male,18
1 year,A668546,Blue,Public Assist,Female,18
2 months,A714337,Black,Stray,Female,18
1 year,A753765,Blue,Stray,Male,18
5 months,A765570,Calico,Owner Surrender,Female,18
3 years,A729590,Colourpoint,Stray,Male,18
3 months,A762029,Colourpoint,Owner Surrender,Male,18
1 year,A707542,Tortie,Stray,Female,18
5 years,A719663,Black and White,Owner Surrender,Male,18
2 months,A703652,Colourpoint,Stray,Female,18
2 months,A691200,Black and White,Stray,Male,18
3 years,A707730,Colourpoint,Stray,Male,18
2 months,A752878,Brown Tabby,Stray,Female,18
6 months,A742483,Black,Stray,Female,18
1 year,A688839,Black and White,Stray,Male,18
2 months,A667020,Orange Tabby,Stray,Male,18
5 years,A716869,Orange Tabby,Stray,Male,18
4 years,A675725,Tortie,Stray,Male,18
5 months,A686495,Black,Owner Surrender,Female,18
1 month,A685201,Brown Tabby,Owner Surrender,Female,18
1 year,A733553,Orange Tabby,Stray,Male,18
1 year,A733534,Calico,Owner Surrender,Female,18
1 year,A685064,Brown Tabby,Owner Surrender,Male,18
3 years,A750817,Blue,Stray,Male,18
2 months,A766272,Brown Tabby,Stray,Male,18
1 year,A709527,Blue,Owner Surrender,Male,18
2 months,A705623,Orange Tabby,Stray,Male,18
2 months,A684187,Blue,Stray,Female,18
2 months,A667077,Blue,Stray,Female,18
2 months,A681799,Brown Tabby,Owner Surrender,Male,18
1 month,A729951,Gray Tabby,Stray,Male,18
4 months,A685245,Orange Tabby,Owner Surrender,Male,18
1 year,A708608,Colourpoint,Public Assist,Male,18
5 months,A672472,Brown Tabby,Owner Surrender,Male,18
1 year,A767634,Cream Tabby,Stray,Male,18
2 months,A681517,Brown Tabby,Stray,Male,18
2 years,A701012,Black,Owner Surrender,Male,18
1 month,A750007,Tortie,Stray,Female,18
1 month,A750008,Black,Stray,Male,18
9 years,A731288,Brown Tabby,Stray,Male,18
2 years,A717029,White,Stray,Female,18
1 year,A707827,Brown Tabby,Owner Surrender,Male,18
3 months,A738014,Brown Tabby,Owner Surrender,Male,18
6 months,A713280,Black,Stray,Female,18
1 year,A739669,Tortie,Stray,Female,18
1 year,A719516,Colourpoint,Stray,Male,18
5 years,A723824,Brown Tabby,Owner Surrender,Male,18
2 years,A741679,Silver Tabby,Stray,Male,18
2 months,A725967,Tortie,Stray,Female,18
2 months,A750752,Black,Owner Surrender,Male,18
2 months,A750751,Brown Tabby,Owner Surrender,Male,18
6 years,A751857,Blue,Owner Surrender,Male,18
2 months,A709598,Blue,Owner Surrender,Female,18
1 year,A735437,Black,Owner Surrender,Female,180
6 months,A703583,Colourpoint,Stray,Female,181
8 years,A719897,Brown Tabby,Stray,Male,181
7 months,A680247,Orange Tabby,Stray,Male,182
7 months,A680249,Orange Tabby,Stray,Male,182
7 months,A680250,Orange Tabby,Stray,Male,182
6 months,A685693,Orange Tabby,Stray,Female,182
9 months,A752172,Orange Tabby,Stray,Female,183
7 years,A726589,Black and White,Owner Surrender,Male,183
6 months,A685695,Orange Tabby,Stray,Female,184
6 months,A685696,Orange Tabby,Stray,Female,184
1 year,A676277,Black,Stray,Female,184
6 months,A747198,Calico,Stray,Male,185
8 years,A710677,Torbie,Owner Surrender,Male,186
1 year,A665101,Brown Tabby,Owner Surrender,Male,187
10 years,A699032,Tortie,Owner Surrender,Male,187
12 years,A712329,Tortie,Owner Surrender,Male,187
1 year,A733495,Calico,Stray,Female,188
5 months,A668786,Brown Tabby,Stray,Male,19
6 years,A598437,Brown Tabby,Stray,Male,19
1 year,A738013,Black and White,Owner Surrender,Female,19
2 years,A755240,Tortie,Stray,Female,19
7 years,A717770,Blue,Owner Surrender,Male,19
4 years,A705188,Brown Tabby,Stray,Male,19
1 year,A737958,Orange Tabby,Stray,Female,19
2 years,A741152,Orange Tabby,Stray,Male,19
3 years,A709416,Blue,Stray,Male,19
2 months,A716339,Orange Tabby,Stray,Male,19
2 months,A717104,Torbie,Stray,Female,19
3 years,A737279,Black,Owner Surrender,Female,19
2 months,A691199,Black and White,Stray,Male,19
4 months,A752847,Tortie,Stray,Female,19
2 months,A679600,Black,Stray,Male,19
2 months,A729036,Cream Tabby,Stray,Female,19
2 months,A729037,Orange Tabby,Stray,Male,19
2 months,A732430,Blue,Stray,Female,19
2 months,A680357,Brown Tabby,Stray,Male,19
2 months,A693297,Orange Tabby,Stray,Male,19
1 year,A671422,Brown Tabby,Public Assist,Male,19
2 months,A750307,Blue,Stray,Male,19
3 months,A726402,Cream Tabby,Owner Surrender,Female,19
4 years,A668882,White,Owner Surrender,Male,19
2 months,A681246,Brown Tabby,Stray,Male,19
4 months,A668327,Brown Tabby,Owner Surrender,Female,19
7 years,A725149,Black,Owner Surrender,Male,19
10 years,A662170,Brown Tabby,Owner Surrender,Male,19
12 years,A734606,Black,Owner Surrender,Male,19
3 months,A695228,Tortie,Stray,Female,19
2 months,A752564,Orange Tabby,Stray,Male,19
2 months,A679838,Blue,Stray,Male,19
2 months,A754922,Brown Tabby,Stray,Male,19
1 year,A748736,Black,Owner Surrender,Male,19
4 years,A710966,Orange Tabby,Owner Surrender,Male,19
3 months,A742493,Blue,Stray,Male,19
7 years,A738843,Blue,Owner Surrender,Male,19
6 years,A730920,Orange Tabby,Owner Surrender,Male,19
6 months,A713760,Brown Tabby,Owner Surrender,Male,19
1 year,A762934,Blue,Owner Surrender,Male,19
3 years,A722308,Black,Owner Surrender,Male,19
7 years,A538370,Blue,Owner Surrender,Male,19
1 year,A667028,Orange Tabby,Stray,Male,19
11 years,A762931,Blue,Owner Surrender,Male,19
8 years,A545301,Torbie,Owner Surrender,Male,19
2 months,A679095,Black and White,Stray,Female,19
2 months,A679729,Brown Tabby,Owner Surrender,Male,19
14 years,A623403,Orange Tabby,Owner Surrender,Male,19
1 year,A742538,Calico,Stray,Female,19
1 month,A738553,Brown Tabby,Stray,Female,19
1 year,A757470,Black,Owner Surrender,Female,19
2 months,A682024,Black,Stray,Male,19
4 years,A728946,Orange Tabby,Owner Surrender,Male,19
2 months,A675780,Blue,Stray,Male,19
2 months,A691557,Brown Tabby,Stray,Male,19
1 month,A706548,Black and White,Stray,Male,19
2 months,A711473,Tortie,Owner Surrender,Female,19
1 month,A726569,Orange Tabby,Stray,Male,19
1 year,A747801,Tortie,Owner Surrender,Male,19
3 years,A671674,Orange Tabby,Owner Surrender,Male,19
2 years,A748662,Orange Tabby,Owner Surrender,Male,19
2 months,A757124,Black,Stray,Female,19
3 years,A733036,Tortie,Owner Surrender,Male,19
5 months,A709234,Blue,Stray,Female,19
10 months,A739517,Black and White,Stray,Female,19
5 years,A759336,Brown Tabby,Stray,Male,19
2 years,A679726,White,Owner Surrender,Female,19
3 months,A729558,Brown Tabby,Stray,Male,19
2 months,A709223,Brown Tabby,Stray,Male,19
2 months,A709222,Calico,Stray,Female,19
13 years,A689155,Blue,Owner Surrender,Male,19
13 years,A689156,Blue,Owner Surrender,Male,19
4 months,A731687,Brown Tabby,Owner Surrender,Female,19
4 months,A731688,Orange Tabby,Owner Surrender,Male,19
2 years,A759300,Brown Tabby,Stray,Male,19
3 months,A718682,Blue,Stray,Male,19
2 months,A748100,Black and White,Stray,Male,19
2 months,A755578,Orange Tabby,Stray,Male,19
2 months,A704959,Calico,Stray,Female,19
2 years,A758331,White,Owner Surrender,Male,19
10 years,A763150,Brown Tabby,Owner Surrender,Male,19
3 months,A706458,Blue,Stray,Male,19
3 months,A706460,Blue,Stray,Female,19
3 months,A706457,Blue,Stray,Male,19
10 months,A744393,Black,Owner Surrender,Female,19
2 months,A729560,Brown Tabby,Stray,Female,19
1 year,A672867,Orange Tabby,Stray,Male,19
10 years,A731751,Brown Tabby,Owner Surrender,Male,19
2 months,A703701,Orange Tabby,Stray,Male,19
2 months,A728984,Blue,Stray,Female,19
1 month,A738723,Tortie,Stray,Female,19
2 months,A699803,Blue,Stray,Male,19
2 years,A719733,White,Stray,Female,19
4 months,A703426,Brown Tabby,Owner Surrender,Male,19
1 month,A702562,Blue,Stray,Male,19
4 months,A687537,Brown Tabby,Owner Surrender,Male,19
2 months,A724680,Brown Tabby,Stray,Male,19
3 months,A766283,Blue,Stray,Female,19
2 months,A667714,Black,Stray,Male,19
2 months,A692626,Black and White,Stray,Male,19
2 years,A707132,Black,Stray,Male,19
2 months,A700244,Black and White,Stray,Male,19
2 months,A700243,Orange Tabby,Stray,Male,19
3 months,A731469,Black and White,Stray,Male,19
2 months,A736737,Brown Tabby,Stray,Female,19
1 month,A738720,Calico,Stray,Female,19
2 months,A689068,Black,Stray,Male,19
2 years,A682493,Orange Tabby,Stray,Male,19
10 months,A669189,Cream Tabby,Stray,Male,19
1 month,A752651,White,Stray,Male,19
2 months,A689098,Black,Stray,Male,19
5 months,A716729,Calico,Stray,Female,19
3 years,A742158,Brown Tabby,Stray,Male,19
6 years,A726573,Black,Owner Surrender,Male,19
3 months,A762030,Black and White,Owner Surrender,Female,19
2 months,A725966,Tortie,Stray,Female,19
5 years,A668708,Brown Tabby,Stray,Male,19
2 months,A753324,Tortie,Stray,Female,19
1 month,A704328,Colourpoint,Stray,Female,19
2 months,A689059,Brown Tabby,Stray,Female,19
1 year,A760202,White,Stray,Male,19
2 months,A666211,Tortie,Stray,Female,19
6 years,A668719,Tortie,Stray,Male,19
2 years,A763374,Brown Tabby,Stray,Male,19
2 months,A666089,Orange Tabby,Stray,Male,19
4 months,A695781,Orange Tabby,Stray,Male,19
2 months,A675777,Blue,Stray,Female,19
1 year,A750416,Brown Tabby,Owner Surrender,Male,19
1 year,A758159,Brown Tabby,Owner Surrender,Male,19
2 months,A748190,Black,Stray,Female,19
4 months,A731603,Orange Tabby,Stray,Male,19
13 years,A726061,Blue,Owner Surrender,Male,190
12 years,A736567,Blue,Owner Surrender,Male,191
7 years,A581522,Torbie,Owner Surrender,Male,191
8 years,A733080,Blue,Owner Surrender,Male,192
6 years,A703322,Cream Tabby,Owner Surrender,Male,193
7 months,A683719,Black and White,Stray,Female,193
7 months,A680710,Black,Stray,Female,193
7 months,A666255,Brown Tabby,Stray,Female,195
4 years,A732775,White,Public Assist,Male,197
8 months,A706906,Black,Stray,Male,198
3 years,A732774,Black,Public Assist,Male,198
1 year,A732771,Black,Public Assist,Male,198
5 years,A732729,Black and White,Public Assist,Male,198
1 year,A711475,Tortie,Stray,Male,199
7 months,A696964,Brown Tabby,Stray,Male,199
7 months,A696965,Brown Tabby,Stray,Female,199
1 year,A673472,Orange Tabby,Stray,Female,199
1 month,A769000,Blue,Owner Surrender,Male,2
1 year,A698941,Colourpoint,Owner Surrender,Male,2
2 months,A690639,Tortie,Owner Surrender,Male,2
2 months,A763578,Tortie,Owner Surrender,Female,2
2 months,A751921,Brown Tabby,Owner Surrender,Male,2
8 months,A666728,Brown Tabby,Owner Surrender,Male,2
4 years,A764512,Brown Tabby,Owner Surrender,Male,2
4 months,A673606,Blue,Owner Surrender,Male,2
3 months,A700592,Colourpoint,Owner Surrender,Female,2
1 month,A713994,Black,Owner Surrender,Female,2
7 months,A750438,White,Owner Surrender,Male,2
2 months,A707768,Colourpoint,Owner Surrender,Male,2
5 years,A702884,Brown Tabby,Owner Surrender,Male,2
7 months,A743196,Brown Tabby,Owner Surrender,Male,2
2 months,A719489,Blue,Owner Surrender,Male,2
2 months,A761374,Orange Tabby,Owner Surrender,Male,2
1 month,A737060,Black and White,Owner Surrender,Female,2
1 month,A745994,Torbie,Owner Surrender,Female,2
5 months,A672723,Colourpoint,Owner Surrender,Female,2
2 months,A747411,Torbie,Owner Surrender,Male,2
2 months,A747413,Tortie,Owner Surrender,Male,2
1 year,A672486,Blue,Owner Surrender,Male,2
2 months,A742601,Black,Owner Surrender,Female,2
2 years,A713930,Tortie,Owner Surrender,Male,2
3 months,A767184,Brown Tabby,Owner Surrender,Female,2
4 months,A735326,Blue,Owner Surrender,Male,2
3 months,A700591,Orange Tabby,Owner Surrender,Male,2
4 months,A742443,Black and White,Owner Surrender,Male,2
2 months,A673754,Orange Tabby,Owner Surrender,Male,2
2 months,A730045,Brown Tabby,Stray,Male,2
2 months,A719979,Torbie,Owner Surrender,Female,2
2 months,A730046,Torbie,Stray,Female,2
4 months,A667331,Calico,Owner Surrender,Female,2
5 months,A716881,Orange Tabby,Owner Surrender,Male,2
6 months,A714085,Brown Tabby,Owner Surrender,Female,2
4 months,A682326,Brown Tabby,Owner Surrender,Female,2
2 months,A687888,Blue,Owner Surrender,Male,2
2 months,A751192,Brown Tabby,Owner Surrender,Female,2
2 months,A754294,Cream Tabby,Owner Surrender,Female,2
2 months,A719547,Blue,Owner Surrender,Male,2
5 months,A765772,Orange Tabby,Owner Surrender,Male,2
7 months,A725002,Brown Tabby,Owner Surrender,Male,2
2 months,A684649,Orange Tabby,Owner Surrender,Male,2
8 years,A721744,Tortie,Owner Surrender,Male,2
2 months,A684655,Orange Tabby,Owner Surrender,Female,2
4 months,A757065,Calico,Owner Surrender,Female,2
5 months,A716877,Blue,Owner Surrender,Male,2
2 months,A671125,Orange Tabby,Owner Surrender,Male,2
1 month,A737061,Black and White,Owner Surrender,Female,2
5 months,A716880,Black,Owner Surrender,Male,2
5 years,A742770,Cream Tabby,Owner Surrender,Male,2
6 months,A691738,Cream Tabby,Stray,Male,2
1 year,A754221,Blue,Owner Surrender,Male,2
2 months,A747363,Orange Tabby,Owner Surrender,Female,2
4 months,A719923,Brown Tabby,Owner Surrender,Male,2
5 months,A718904,Colourpoint,Owner Surrender,Male,2
7 months,A678084,Orange Tabby,Owner Surrender,Male,2
2 months,A671124,Orange Tabby,Owner Surrender,Male,2
6 years,A730592,Calico,Owner Surrender,Male,2
2 months,A757931,Brown Tabby,Owner Surrender,Male,2
2 months,A746273,Orange Tabby,Owner Surrender,Male,2
2 months,A746272,Cream Tabby,Owner Surrender,Male,2
4 months,A742445,Brown Tabby,Owner Surrender,Male,2
1 month,A709957,Tortie,Stray,Female,2
2 months,A683600,White,Owner Surrender,Male,2
1 year,A768122,Blue,Owner Surrender,Male,2
2 months,A730134,Brown Tabby,Owner Surrender,Male,2
9 years,A744564,Brown Tabby,Owner Surrender,Male,2
2 months,A757929,Black and White,Owner Surrender,Female,2
2 months,A756298,Black,Owner Surrender,Male,2
4 months,A683925,Blue,Owner Surrender,Female,2
2 months,A751104,Brown Tabby,Owner Surrender,Male,2
2 years,A766786,Brown Tabby,Owner Surrender,Male,2
4 months,A767031,Black,Owner Surrender,Female,2
2 months,A669075,Orange Tabby,Owner Surrender,Male,2
4 months,A737111,Orange Tabby,Owner Surrender,Male,2
3 months,A706317,Black,Owner Surrender,Male,2
3 years,A757412,Brown Tabby,Owner Surrender,Male,2
2 months,A728054,Blue,Owner Surrender,Male,2
8 months,A712581,Cream Tabby,Stray,Female,2
4 months,A691943,Black and White,Owner Surrender,Male,2
2 months,A687511,Cream Tabby,Owner Surrender,Male,2
5 months,A729691,Calico,Owner Surrender,Male,2
2 months,A690380,Colourpoint,Owner Surrender,Male,2
6 months,A691739,Orange Tabby,Stray,Male,2
6 years,A728894,Colourpoint,Owner Surrender,Male,2
6 years,A728895,Colourpoint,Owner Surrender,Male,2
11 months,A694348,Torbie,Owner Surrender,Female,2
2 months,A747362,Orange Tabby,Owner Surrender,Male,2
17 years,A709721,Blue,Owner Surrender,Male,2
4 years,A694065,Brown Tabby,Owner Surrender,Male,2
2 months,A707767,Brown Tabby,Owner Surrender,Male,2
2 months,A707766,Tortie,Owner Surrender,Female,2
2 months,A763823,Blue,Owner Surrender,Male,2
6 months,A677155,Brown Tabby,Owner Surrender,Male,2
2 months,A671233,Colourpoint,Owner Surrender,Male,2
3 months,A697608,Blue,Owner Surrender,Female,2
2 months,A714007,Orange Tabby,Owner Surrender,Male,2
2 months,A714008,Orange Tabby,Owner Surrender,Male,2
2 years,A668746,Blue,Owner Surrender,Male,2
3 months,A767868,Black,Owner Surrender,Female,2
3 months,A743866,Cream Tabby,Owner Surrender,Male,2
2 years,A722244,Brown Tabby,Owner Surrender,Male,2
2 months,A702562,Blue,Owner Surrender,Male,2
2 months,A750460,Brown Tabby,Stray,Female,2
2 months,A700202,Calico,Owner Surrender,Female,2
3 years,A673837,Calico,Owner Surrender,Male,2
3 months,A687515,Orange Tabby,Owner Surrender,Female,2
2 months,A760485,Black,Owner Surrender,Male,2
3 months,A759254,Colourpoint,Owner Surrender,Male,2
5 months,A716882,Colourpoint,Owner Surrender,Male,2
3 months,A687513,Orange Tabby,Owner Surrender,Female,2
7 months,A700198,Colourpoint,Owner Surrender,Male,2
4 months,A697737,Brown Tabby,Owner Surrender,Female,2
5 months,A711737,Orange Tabby,Owner Surrender,Male,2
7 months,A714987,Blue,Owner Surrender,Male,2
2 months,A670573,Brown Tabby,Stray,Female,2
2 months,A719025,Brown Tabby,Owner Surrender,Male,2
2 months,A714005,Orange Tabby,Owner Surrender,Female,2
5 months,A711736,Black,Owner Surrender,Male,2
5 months,A711734,Blue,Owner Surrender,Female,2
8 years,A755820,Blue,Owner Surrender,Male,2
5 months,A711735,Calico,Owner Surrender,Female,2
2 months,A714006,Orange Tabby,Owner Surrender,Female,2
2 months,A714009,Brown Tabby,Owner Surrender,Male,2
5 months,A739112,Brown Tabby,Stray,Male,2
9 months,A766393,Torbie,Owner Surrender,Female,2
2 months,A750462,Orange Tabby,Stray,Male,2
2 months,A750463,Orange Tabby,Stray,Male,2
2 months,A748602,Brown Tabby,Owner Surrender,Female,2
4 months,A721836,Brown Tabby,Owner Surrender,Male,2
2 months,A670574,Brown Tabby,Owner Surrender,Female,2
10 months,A720201,Silver Tabby,Owner Surrender,Female,2
3 months,A764121,Black,Owner Surrender,Male,2
2 months,A728384,Blue,Owner Surrender,Male,2
2 months,A684647,Blue,Owner Surrender,Male,2
2 months,A731574,Blue,Owner Surrender,Female,2
4 months,A758724,Black and White,Owner Surrender,Male,2
3 months,A689586,Blue,Owner Surrender,Male,2
2 months,A670572,Brown Tabby,Owner Surrender,Female,2
2 months,A679189,Black and White,Owner Surrender,Male,2
2 months,A679191,Silver Tabby,Owner Surrender,Female,2
2 months,A679456,Blue,Owner Surrender,Male,2
3 months,A693769,Black,Owner Surrender,Male,2
2 months,A707765,Calico,Owner Surrender,Female,2
2 months,A702108,Black,Owner Surrender,Male,2
2 months,A702109,Brown Tabby,Owner Surrender,Male,2
2 months,A719977,Colourpoint,Owner Surrender,Male,2
1 month,A745995,Torbie,Owner Surrender,Female,2
1 month,A686543,Colourpoint,Stray,Male,2
2 months,A731213,Brown Tabby,Owner Surrender,Male,2
1 year,A763208,Orange Tabby,Owner Surrender,Female,2
2 months,A742738,Black,Owner Surrender,Male,2
2 months,A719546,Blue,Owner Surrender,Male,2
7 months,A716401,Brown Tabby,Owner Surrender,Male,2
6 months,A719399,Colourpoint,Owner Surrender,Female,2
2 years,A746252,Blue,Owner Surrender,Male,2
2 months,A703917,Brown Tabby,Owner Surrender,Male,2
1 year,A698593,Orange Tabby,Stray,Male,2
2 months,A679192,Brown Tabby,Owner Surrender,Female,2
3 months,A667822,Colourpoint,Owner Surrender,Female,2
1 year,A748051,Brown Tabby,Owner Surrender,Female,2
1 year,A730985,Colourpoint,Owner Surrender,Male,2
7 months,A740429,Black,Owner Surrender,Male,2
3 months,A765505,Blue,Owner Surrender,Female,2
2 months,A703923,Black and White,Owner Surrender,Female,2
2 months,A751885,Orange Tabby,Owner Surrender,Male,2
3 months,A720067,Tortie,Owner Surrender,Female,2
2 months,A719544,Black,Owner Surrender,Male,2
4 months,A688512,Colourpoint,Owner Surrender,Female,2
3 months,A731899,Blue,Owner Surrender,Male,2
2 months,A679654,Orange Tabby,Owner Surrender,Male,2
6 years,A702565,Black and White,Owner Surrender,Male,2
2 months,A719548,Blue,Owner Surrender,Female,2
4 months,A732419,Orange Tabby,Owner Surrender,Male,2
6 years,A702566,Brown Tabby,Owner Surrender,Male,2
7 months,A733653,Colourpoint,Owner Surrender,Female,2
2 months,A763822,Blue,Owner Surrender,Female,2
6 months,A695046,Brown Tabby,Owner Surrender,Female,2
2 months,A680228,Calico,Owner Surrender,Female,2
4 months,A705276,Black,Owner Surrender,Male,2
2 months,A712986,Brown Tabby,Owner Surrender,Female,2
2 months,A712988,Brown Tabby,Owner Surrender,Female,2
10 months,A724949,Torbie,Owner Surrender,Female,2
4 months,A744213,Brown Tabby,Owner Surrender,Male,2
1 year,A670499,Colourpoint,Owner Surrender,Female,2
2 months,A705682,Brown Tabby,Owner Surrender,Male,2
1 year,A716402,Black and White,Owner Surrender,Male,2
3 months,A704546,Brown Tabby,Owner Surrender,Male,2
6 months,A723015,Black,Owner Surrender,Male,2
5 months,A675322,Blue,Owner Surrender,Female,2
6 months,A723016,Brown Tabby,Owner Surrender,Male,2
2 months,A730190,Blue,Owner Surrender,Female,2
2 months,A737577,Blue,Owner Surrender,Male,2
3 months,A681411,Brown Tabby,Owner Surrender,Female,2
3 months,A684155,Orange Tabby,Stray,Male,2
2 months,A681980,Black and White,Owner Surrender,Female,2
2 months,A715360,Brown Tabby,Owner Surrender,Male,2
2 months,A740431,Calico,Owner Surrender,Female,2
1 month,A681470,Cream Tabby,Owner Surrender,Female,2
2 months,A742828,Black and White,Owner Surrender,Female,2
4 months,A674993,Colourpoint,Owner Surrender,Female,2
5 months,A672648,Brown Tabby,Owner Surrender,Female,2
3 months,A666111,Orange Tabby,Owner Surrender,Male,2
6 months,A709724,Calico,Owner Surrender,Male,2
2 months,A740434,Tortie,Owner Surrender,Female,2
2 months,A730108,Brown Tabby,Stray,Female,2
2 months,A735671,Brown Tabby,Owner Surrender,Female,2
3 months,A767132,Orange Tabby,Owner Surrender,Male,2
2 months,A688878,Brown Tabby,Owner Surrender,Male,2
2 months,A741499,Blue,Owner Surrender,Female,2
1 year,A758165,White,Owner Surrender,Female,2
2 years,A738123,Blue,Owner Surrender,Male,2
6 months,A750908,White,Stray,Female,2
4 years,A747186,Brown Tabby,Stray,Male,2
5 months,A745676,Black and White,Owner Surrender,Male,2
1 year,A696781,Brown Tabby,Owner Surrender,Male,2
10 years,A758320,Blue,Owner Surrender,Male,2
3 months,A718596,Brown Tabby,Owner Surrender,Female,2
1 month,A736971,Orange Tabby,Stray,Male,2
3 months,A718597,Brown Tabby,Owner Surrender,Male,2
2 months,A724316,Brown Tabby,Owner Surrender,Male,2
7 months,A721708,Blue,Owner Surrender,Male,2
2 months,A747768,Cream Tabby,Owner Surrender,Male,2
1 year,A647165,Colourpoint,Owner Surrender,Male,2
3 months,A749073,Orange Tabby,Owner Surrender,Male,2
1 year,A695773,White,Owner Surrender,Female,2
2 months,A747364,Torbie,Owner Surrender,Female,2
5 years,A706276,Brown Tabby,Stray,Female,2
8 months,A694067,Torbie,Owner Surrender,Male,2
3 months,A719512,Blue,Owner Surrender,Male,2
3 months,A719515,Black,Owner Surrender,Female,2
1 month,A753208,Blue,Stray,Female,2
1 month,A753209,Colourpoint,Stray,Female,2
2 months,A687756,Colourpoint,Owner Surrender,Female,2
2 months,A687757,Colourpoint,Owner Surrender,Female,2
2 months,A768998,Black and White,Owner Surrender,Female,2
9 years,A701168,Colourpoint,Owner Surrender,Male,2
6 years,A765228,Blue,Owner Surrender,Male,2
8 months,A765308,Gray Tabby,Owner Surrender,Male,2
2 months,A700203,Calico,Owner Surrender,Female,2
2 months,A700204,Black and White,Owner Surrender,Female,2
7 months,A719399,Colourpoint,Owner Surrender,Male,2
3 months,A750562,Black and White,Owner Surrender,Male,2
3 months,A693771,Black,Owner Surrender,Female,2
4 months,A671056,Cream Tabby,Owner Surrender,Male,2
5 years,A747683,Black,Owner Surrender,Male,2
6 months,A692860,Brown Tabby,Owner Surrender,Male,2
2 months,A729396,Brown Tabby,Owner Surrender,Male,2
1 year,A674325,Cream Tabby,Owner Surrender,Male,2
10 months,A720200,Black and White,Owner Surrender,Female,2
6 years,A726573,Black,Owner Surrender,Male,2
3 months,A696228,Black,Owner Surrender,Male,2
6 months,A669504,Colourpoint,Owner Surrender,Male,2
2 months,A748609,Black,Owner Surrender,Female,2
1 month,A751825,Orange Tabby,Owner Surrender,Male,2
