age,id,color,intake,sex,time
7 years,A757784,Calico,Owner Surrender,Male,1
7 years,A758423,Calico,Owner Surrender,Male,1
16 years,A753292,Brown Tabby,Stray,Male,1
4 months,A764345,Calico,Stray,Male,1
2 months,A750461,Brown Tabby,Stray,Female,1
2 months,A750464,Calico,Stray,Female,1
2 years,A696844,Blue,Owner Surrender,Female,1
6 months,A693173,Brown Tabby,Owner Surrender,Male,1
3 months,A678702,Black,Owner Surrender,Male,1
2 years,A713352,Colourpoint,Owner Surrender,Male,1
2 months,A684104,Black and White,Owner Surrender,Male,1
2 months,A684105,Black and White,Owner Surrender,Male,1
5 months,A675115,Torbie,Owner Surrender,Female,1
3 months,A734599,Brown Tabby,Owner Surrender,Male,1
4 months,A703924,Black and White,Owner Surrender,Male,1
2 months,A741281,Brown Tabby,Owner Surrender,Male,1
4 months,A764347,Orange Tabby,Stray,Male,1
1 year,A705669,Blue,Owner Surrender,Male,1
2 months,A740402,Cream Tabby,Owner Surrender,Male,1
4 months,A759733,Tortie,Owner Surrender,Male,1
1 month,A701767,Colourpoint,Owner Surrender,Male,1
2 months,A724317,Calico,Owner Surrender,Female,1
7 years,A719221,Blue,Owner Surrender,Male,1
1 year,A735500,Brown Tabby,Owner Surrender,Male,1
4 months,A664443,Blue,Owner Surrender,Male,1
3 months,A757870,Brown Tabby,Owner Surrender,Male,1
1 year,A727731,Torbie,Owner Surrender,Male,1
3 months,A669848,Blue,Owner Surrender,Female,1
8 years,A746723,Brown Tabby,Owner Surrender,Male,1
3 months,A669849,Brown Tabby,Owner Surrender,Female,1
2 months,A690381,Brown Tabby,Owner Surrender,Male,1
3 months,A741050,Orange Tabby,Owner Surrender,Female,1
2 months,A694204,Blue,Owner Surrender,Male,1
2 months,A694206,Blue,Owner Surrender,Female,1
5 months,A671234,Brown Tabby,Owner Surrender,Female,1
3 months,A669137,Torbie,Owner Surrender,Female,1
4 months,A672181,Black,Owner Surrender,Male,1
1 year,A653879,Black,Owner Surrender,Male,1
4 months,A672182,Black and White,Owner Surrender,Female,1
3 months,A669846,Colourpoint,Owner Surrender,Male,1
2 months,A763574,Colourpoint,Owner Surrender,Male,1
3 months,A694651,Black and White,Owner Surrender,Male,1
11 months,A726529,Brown Tabby,Owner Surrender,Male,1
1 year,A696914,Black,Owner Surrender,Female,1
3 months,A764135,Brown Tabby,Owner Surrender,Male,1
2 months,A695769,Brown Tabby,Owner Surrender,Female,1
2 months,A695770,Silver Tabby,Owner Surrender,Female,1
3 months,A764133,Brown Tabby,Owner Surrender,Male,1
3 months,A669847,Brown Tabby,Owner Surrender,Male,1
9 years,A517501,Calico,Owner Surrender,Male,1
6 months,A759190,Tortie,Owner Surrender,Male,1
2 months,A753077,Cream Tabby,Owner Surrender,Male,1
2 months,A753076,Tortie,Owner Surrender,Male,1
3 months,A766637,Brown Tabby,Owner Surrender,Male,1
3 months,A764134,Brown Tabby,Owner Surrender,Male,1
4 months,A687232,Black and White,Owner Surrender,Male,1
2 years,A743843,Calico,Owner Surrender,Male,1
5 months,A722139,Black and White,Owner Surrender,Male,1
2 years,A732773,Blue,Owner Surrender,Male,1
1 month,A674922,Colourpoint,Owner Surrender,Male,1
2 months,A669861,Brown Tabby,Owner Surrender,Male,1
4 years,A685298,Colourpoint,Owner Surrender,Male,1
3 years,A699545,Orange Tabby,Owner Surrender,Male,1
5 months,A692606,Black and White,Owner Surrender,Female,1
4 months,A736950,White,Owner Surrender,Male,1
3 months,A744571,Brown Tabby,Owner Surrender,Male,1
3 months,A744572,Torbie,Owner Surrender,Female,1
1 year,A688096,White,Owner Surrender,Male,1
2 months,A686669,Black and White,Owner Surrender,Male,1
1 month,A674923,Black and White,Owner Surrender,Female,1
4 months,A757065,Calico,Owner Surrender,Male,1
1 year,A677986,Cream Tabby,Owner Surrender,Male,1
5 months,A714301,Brown Tabby,Owner Surrender,Female,1
2 months,A730202,Cream Tabby,Stray,Male,1
9 years,A743120,Blue,Owner Surrender,Male,1
10 months,A724948,Blue,Owner Surrender,Female,1
11 years,A730657,Tortie,Owner Surrender,Male,1
11 months,A746871,Brown Tabby,Owner Surrender,Male,1
4 years,A669296,White,Owner Surrender,Male,1
1 year,A762684,Black,Owner Surrender,Male,1
2 months,A719482,Brown Tabby,Owner Surrender,Male,1
2 years,A730655,Cream Tabby,Owner Surrender,Male,1
2 months,A730188,Black,Owner Surrender,Female,1
3 months,A693221,Black,Stray,Female,1
13 years,A671014,Brown Tabby,Owner Surrender,Male,1
13 years,A671013,Brown Tabby,Owner Surrender,Male,1
10 months,A702240,Black and White,Owner Surrender,Male,1
3 months,A765050,Calico,Owner Surrender,Female,1
2 months,A740433,Calico,Owner Surrender,Female,1
2 months,A740430,Orange Tabby,Owner Surrender,Female,1
3 months,A694382,Tortie,Owner Surrender,Female,1
4 months,A734461,Black,Owner Surrender,Male,1
5 months,A768841,Black,Owner Surrender,Female,1
5 months,A768840,Brown Tabby,Owner Surrender,Female,1
2 months,A716693,Black and White,Owner Surrender,Female,1
8 months,A767412,Black,Owner Surrender,Male,1
4 months,A735325,Brown Tabby,Owner Surrender,Male,1
2 years,A713929,Colourpoint,Owner Surrender,Male,1
4 months,A763045,Brown Tabby,Owner Surrender,Male,1
4 months,A670836,Brown Tabby,Stray,Male,1
4 months,A754042,Colourpoint,Owner Surrender,Male,1
8 months,A756340,Black and White,Owner Surrender,Male,1
3 months,A739966,Colourpoint,Owner Surrender,Male,1
3 years,A740778,Blue,Owner Surrender,Male,1
3 months,A741990,Black,Owner Surrender,Male,1
2 months,A669861,Brown Tabby,Owner Surrender,Female,1
7 months,A675862,Orange Tabby,Owner Surrender,Male,1
6 years,A694437,Orange Tabby,Owner Surrender,Male,1
2 months,A704313,Blue,Owner Surrender,Female,1
5 years,A689108,Colourpoint,Owner Surrender,Male,1
10 months,A721361,Calico,Owner Surrender,Male,1
1 year,A694006,Blue,Owner Surrender,Male,1
8 months,A693583,Torbie,Owner Surrender,Female,1
4 months,A743677,Torbie,Owner Surrender,Female,1
2 months,A713382,Brown Tabby,Owner Surrender,Male,1
1 year,A716714,Brown Tabby,Owner Surrender,Male,1
4 months,A688513,Colourpoint,Owner Surrender,Male,1
2 months,A694205,Blue,Owner Surrender,Male,1
2 months,A756302,Tortie,Owner Surrender,Female,1
2 months,A756299,Orange Tabby,Owner Surrender,Male,1
5 months,A667331,Calico,Owner Surrender,Male,1
6 months,A669851,Brown Tabby,Owner Surrender,Male,1
6 months,A669850,Torbie,Owner Surrender,Female,1
3 years,A766684,Black and White,Owner Surrender,Male,1
6 years,A690767,Brown Tabby,Owner Surrender,Male,1
7 years,A733136,Calico,Stray,Male,1
6 months,A711475,Tortie,Owner Surrender,Male,1
2 months,A742600,Blue,Owner Surrender,Male,1
3 years,A721006,Black and White,Owner Surrender,Male,1
2 months,A756308,Brown Tabby,Owner Surrender,Female,1
2 months,A756301,Brown Tabby,Owner Surrender,Male,1
2 months,A707763,Cream Tabby,Owner Surrender,Female,1
2 months,A694031,Blue,Owner Surrender,Male,1
2 years,A723885,Black and White,Owner Surrender,Male,1
1 year,A713181,Black,Owner Surrender,Male,1
1 year,A750414,Torbie,Owner Surrender,Female,1
5 months,A667844,Brown Tabby,Owner Surrender,Male,1
3 months,A685056,Calico,Owner Surrender,Male,1
1 month,A736432,Black and White,Owner Surrender,Male,1
2 months,A736431,Brown Tabby,Owner Surrender,Male,1
1 month,A736433,Brown Tabby,Owner Surrender,Female,1
9 years,A727265,Colourpoint,Owner Surrender,Male,1
2 months,A700131,Blue,Owner Surrender,Female,1
2 months,A756300,Black and White,Owner Surrender,Male,1
1 year,A730984,Colourpoint,Owner Surrender,Male,1
2 months,A707764,Cream Tabby,Owner Surrender,Female,1
2 months,A690643,Orange Tabby,Owner Surrender,Male,1
4 months,A696522,Orange Tabby,Owner Surrender,Male,1
3 years,A600683,Black,Owner Surrender,Male,1
6 months,A763746,Calico,Owner Surrender,Male,1
1 year,A768122,Blue,Owner Surrender,Male,1
2 months,A728054,Blue,Owner Surrender,Male,1
2 months,A690422,Colourpoint,Owner Surrender,Female,1
5 years,A697907,Brown Tabby,Owner Surrender,Male,1
8 years,A449703,Colourpoint,Owner Surrender,Male,1
2 months,A730192,Black,Owner Surrender,Male,1
8 years,A449270,Tortie,Owner Surrender,Male,1
10 months,A670547,Brown Tabby,Owner Surrender,Male,1
2 months,A681488,Black,Stray,Female,4
3 months,A697732,Brown Tabby,Stray,Female,4
2 months,A679934,Colourpoint,Stray,Male,4
2 months,A754833,Colourpoint,Stray,Male,4
2 months,A750750,Orange Tabby,Owner Surrender,Male,4
1 month,A684784,Black,Stray,Female,6
8 months,A722568,Blue,Owner Surrender,Male,6
1 month,A684781,Calico,Stray,Female,6
6 months,A686753,Tortie,Stray,Male,6
2 months,A706925,Tortie,Stray,Female,6
3 months,A685094,Black,Owner Surrender,Female,8
4 months,A674688,Black,Owner Surrender,Female,9
1 month,A727161,Black and White,Stray,Male,10
4 months,A738504,Orange Tabby,Stray,Female,10
2 months,A732385,Cream Tabby,Owner Surrender,Female,10
2 months,A732386,Black and White,Owner Surrender,Male,10
4 months,A718216,Brown Tabby,Stray,Male,10
3 months,A709277,Orange Tabby,Stray,Male,10
8 years,A703325,Colourpoint,Owner Surrender,Male,10
2 months,A665023,Cream Tabby,Stray,Male,10
10 years,A689525,White,Owner Surrender,Male,10
2 months,A735672,Brown Tabby,Owner Surrender,Female,10
2 years,A664529,Brown Tabby,Stray,Male,10
2 years,A740887,Brown Tabby,Stray,Male,10
2 months,A735903,Black,Stray,Female,10
2 months,A735899,Black,Stray,Male,10
3 months,A709470,Black,Owner Surrender,Male,10
2 months,A706431,Calico,Stray,Female,10
2 years,A744577,Calico,Stray,Female,10
2 months,A710281,Orange Tabby,Stray,Female,10
2 years,A758301,Brown Tabby,Stray,Male,10
2 months,A727662,Black,Owner Surrender,Male,10
5 months,A709083,Black,Owner Surrender,Male,10
2 months,A729451,Blue,Stray,Male,10
5 months,A709085,Brown Tabby,Owner Surrender,Female,10
2 months,A731179,Torbie,Stray,Female,10
2 months,A729473,Blue,Owner Surrender,Male,10
5 months,A740617,Orange Tabby,Stray,Female,10
3 months,A685482,Brown Tabby,Owner Surrender,Male,10
3 months,A751569,Black,Stray,Female,10
3 months,A751570,Black,Stray,Female,10
2 months,A666329,Brown Tabby,Stray,Male,10
2 years,A687318,Black,Owner Surrender,Male,10
6 months,A709127,Brown Tabby,Owner Surrender,Female,10
2 months,A689724,Black,Stray,Male,10
5 months,A689355,Black,Owner Surrender,Male,10
5 months,A689354,Black,Owner Surrender,Female,10
1 year,A679629,Black,Owner Surrender,Female,10
2 months,A708855,Black,Stray,Male,10
5 months,A747357,Black and White,Stray,Male,10
1 year,A678196,Tortie,Owner Surrender,Female,10
5 years,A695693,Calico,Stray,Male,10
3 months,A762641,Gray Tabby,Stray,Male,10
4 years,A751091,Brown Tabby,Owner Surrender,Male,10
5 months,A735704,Black,Stray,Male,10
2 months,A716343,Black,Stray,Female,10
1 year,A743913,Brown Tabby,Stray,Male,10
2 months,A729113,Brown Tabby,Owner Surrender,Female,10
10 months,A720531,Black and White,Owner Surrender,Male,10
2 months,A713789,Brown Tabby,Stray,Male,10
6 months,A720532,Tortie,Owner Surrender,Female,10
2 months,A705053,Torbie,Stray,Female,10
2 months,A706936,Cream Tabby,Stray,Male,10
1 month,A732956,Black,Stray,Female,10
2 months,A705200,Blue,Stray,Male,10
8 months,A711674,Blue,Stray,Male,10
8 months,A711675,Blue,Stray,Male,10
12 years,A718794,Black and White,Owner Surrender,Male,10
2 months,A728337,Brown Tabby,Stray,Female,10
1 year,A766064,Black and White,Stray,Male,10
8 years,A699233,Brown Tabby,Stray,Male,10
2 months,A689764,Brown Tabby,Stray,Male,10
2 years,A735696,Brown Tabby,Stray,Male,10
4 months,A763044,Brown Tabby,Owner Surrender,Male,10
2 months,A680664,Calico,Owner Surrender,Female,10
2 months,A710833,Brown Tabby,Stray,Male,10
2 months,A743034,Cream Tabby,Stray,Male,10
2 months,A708898,Tortie,Owner Surrender,Female,10
5 months,A738489,Blue,Stray,Male,10
2 months,A729450,Brown Tabby,Stray,Male,10
2 months,A751587,Cream Tabby,Stray,Male,10
2 months,A711254,Tortie,Stray,Female,10
1 month,A752280,Blue,Stray,Female,10
2 months,A732642,Brown Tabby,Stray,Male,10
2 months,A732643,Brown Tabby,Stray,Female,10
4 months,A763215,Blue,Stray,Female,10
2 months,A715354,Torbie,Owner Surrender,Female,10
2 months,A709386,Cream Tabby,Owner Surrender,Male,10
1 year,A731508,Black,Stray,Female,10
3 months,A672113,Blue,Owner Surrender,Male,10
2 months,A752425,Blue,Stray,Male,10
2 months,A753157,Calico,Stray,Female,10
3 months,A668326,Brown Tabby,Owner Surrender,Male,10
7 months,A719822,Black and White,Public Assist,Female,10
1 year,A686160,Black and White,Owner Surrender,Male,10
2 months,A716043,Brown Tabby,Stray,Female,10
2 months,A693173,Brown Tabby,Stray,Female,10
2 years,A718206,Orange Tabby,Stray,Male,10
2 months,A762933,Orange Tabby,Stray,Male,10
2 months,A693174,Torbie,Stray,Female,10
3 months,A741437,Tortie,Stray,Female,10
6 months,A719823,White,Public Assist,Female,10
3 years,A673614,Calico,Owner Surrender,Male,10
7 months,A719824,Brown Tabby,Public Assist,Female,10
2 months,A706470,Blue,Stray,Female,10
2 months,A728697,Brown Tabby,Stray,Male,10
2 months,A732792,Torbie,Stray,Female,10
1 year,A752521,Orange Tabby,Public Assist,Female,10
2 months,A752519,Orange Tabby,Public Assist,Female,10
2 years,A758079,Blue,Owner Surrender,Male,10
2 months,A716787,Calico,Stray,Female,10
5 months,A733709,Brown Tabby,Stray,Female,10
7 months,A733651,Orange Tabby,Owner Surrender,Male,10
7 months,A733652,Orange Tabby,Owner Surrender,Male,10
1 month,A760766,Orange Tabby,Stray,Male,10
1 month,A760735,Orange Tabby,Stray,Male,10
3 months,A666311,Black and White,Owner Surrender,Male,10
2 months,A737236,Black,Stray,Male,10
4 years,A679253,Black,Stray,Male,10
2 months,A733598,Blue,Stray,Male,10
2 months,A755617,Brown Tabby,Stray,Female,10
3 months,A761363,Orange Tabby,Stray,Male,10
7 years,A565536,Brown Tabby,Owner Surrender,Male,10
3 months,A709111,Calico,Stray,Female,10
4 months,A682377,Black and White,Stray,Male,10
1 month,A683027,Brown Tabby,Stray,Female,10
2 months,A741804,Colourpoint,Stray,Male,10
2 months,A668275,Brown Tabby,Owner Surrender,Male,10
7 years,A669014,Blue,Owner Surrender,Male,10
6 months,A734079,Brown Tabby,Owner Surrender,Female,10
2 months,A716242,Black,Stray,Male,10
13 years,A754958,Orange Tabby,Owner Surrender,Male,10
3 months,A714868,Tortie,Stray,Female,10
2 months,A738440,Blue,Stray,Male,10
2 months,A714466,Black,Stray,Male,10
8 months,A736403,White,Owner Surrender,Male,10
3 months,A734696,White,Stray,Male,10
7 months,A740427,Tortie,Owner Surrender,Female,10
2 months,A753219,Brown Tabby,Stray,Male,10
1 year,A748471,Brown Tabby,Stray,Male,10
3 months,A685018,Brown Tabby,Stray,Female,10
2 months,A679174,Tortie,Owner Surrender,Female,10
3 months,A731843,Blue,Stray,Female,10
3 months,A731844,Blue,Stray,Female,10
10 months,A677441,Orange Tabby,Stray,Male,10
5 months,A734849,Brown Tabby,Stray,Male,10
2 months,A730815,Torbie,Owner Surrender,Female,10
3 months,A731900,Blue,Owner Surrender,Female,10
4 months,A755410,Blue,Stray,Female,10
7 months,A746116,Brown Tabby,Stray,Female,10
8 years,A728596,Calico,Owner Surrender,Male,10
1 year,A746500,Blue,Owner Surrender,Male,10
4 months,A762359,Orange Tabby,Stray,Male,10
